infohref,infotext
https://www.ptt.cc/bbs/KoreaDrama/M.1520124406.A.200.html,[閒聊] 金宣兒的新戲，能先接吻嗎？
https://www.ptt.cc/bbs/KoreaDrama/M.1520130165.A.3CA.html,[心得] 和遊記ep19 世界依舊不變
https://www.ptt.cc/bbs/KoreaDrama/M.1520145601.A.B77.html,[心得] 花遊記-對結局的疑問和吻戲的解讀
https://www.ptt.cc/bbs/KoreaDrama/M.1520161245.A.084.html,[LIVE] tvN 和遊記 EP20 終篇
https://www.ptt.cc/bbs/KoreaDrama/M.1520163798.A.AD3.html,[LIVE] tvN 和遊記 黑特區
https://www.ptt.cc/bbs/KoreaDrama/M.1520166069.A.2C2.html,[LIVE] 小神的孩子們 EP2
https://www.ptt.cc/bbs/KoreaDrama/M.1520171006.A.A07.html,[閒聊] 花遊記結局
https://www.ptt.cc/bbs/KoreaDrama/M.1520171336.A.DED.html,[心得] 和遊記拿起刀片無法成佛的結局
https://www.ptt.cc/bbs/KoreaDrama/M.1520171425.A.991.html,[情報] 孫藝珍丁海寅《常請吃飯的漂亮姐姐》預告
https://www.ptt.cc/bbs/KoreaDrama/M.1520171930.A.544.html,"[情報] 李俞英金善浩合作獨幕劇《瘋了,因為你!》"
https://www.ptt.cc/bbs/KoreaDrama/M.1520174334.A.BAD.html,[閒聊] 和遊記結局後創作 [有雷]
https://www.ptt.cc/bbs/KoreaDrama/M.1520182438.A.14D.html,[心得] Misty — JBC9點新聞
https://www.ptt.cc/bbs/KoreaDrama/M.1519904989.A.83B.html,[LIVE] tvN Mother EP12
https://www.ptt.cc/bbs/KoreaDrama/M.1519906105.A.373.html,[LIVE] 推理的女王2 EP2
https://www.ptt.cc/bbs/KoreaDrama/M.1519917216.A.32E.html,[情報] 李準基、徐睿知將攜手出演《無法律師》
https://www.ptt.cc/bbs/KoreaDrama/M.1519936109.A.644.html,[心得] [花遊記]503的愛情
https://www.ptt.cc/bbs/KoreaDrama/M.1519956067.A.16E.html,[情報] 李俊昊-張赫有望合作出演SBS新劇
https://www.ptt.cc/bbs/KoreaDrama/M.1519957088.A.906.html,[情報]  李奎炯:接到《Life》演出提案，討論中
https://www.ptt.cc/bbs/KoreaDrama/M.1519957868.A.6C3.html,[閒聊] 李奎炯再度和曹承佑、李秀妍編劇合作！
https://www.ptt.cc/bbs/KoreaDrama/M.1519978377.A.8F4.html,[新聞] KBS2《推理的女王2》：刑警搭檔正式開始……比起推理更注重
https://www.ptt.cc/bbs/KoreaDrama/M.1519999636.A.943.html,[LIVE] JTBC Misty EP9
https://www.ptt.cc/bbs/KoreaDrama/M.1520002599.A.7BC.html,[情報] 張根碩韓藝璃《Switch》劇本練習照公開
https://www.ptt.cc/bbs/KoreaDrama/M.1520003465.A.67E.html,[閒聊] 和遊記-等待結局
https://www.ptt.cc/bbs/KoreaDrama/M.1520007982.A.629.html,[閒聊] 推理的女王2  依舊萌萌的禹警監
https://www.ptt.cc/bbs/KoreaDrama/M.1520010659.A.257.html,[情報] 3月新劇: MBC《入贅丈夫吳作斗》
https://www.ptt.cc/bbs/KoreaDrama/M.1520015152.A.ABE.html,[閒聊] 只是相愛的關係 給重看的你(圖多)ep8-10
https://www.ptt.cc/bbs/KoreaDrama/M.1520049565.A.6BE.html,Re: [心得] [花遊記]503的愛情
https://www.ptt.cc/bbs/KoreaDrama/M.1520056867.A.A5A.html,[情報] 南宮珉黃正音有望合作SBS新劇《訓南正音
https://www.ptt.cc/bbs/KoreaDrama/M.1520061217.A.229.html,[新聞] 電影《宮合》觀影數破43萬(台灣即將上映)
https://www.ptt.cc/bbs/KoreaDrama/M.1520076269.A.86B.html,[LIVE] tvN 和遊記 EP19
https://www.ptt.cc/bbs/KoreaDrama/M.1520079873.A.B29.html,[LIVE] 小神的孩子們 EP1
https://www.ptt.cc/bbs/KoreaDrama/M.1519807716.A.264.html,[情報] 朴浩山接替吳達庶演出《我的大叔》
https://www.ptt.cc/bbs/KoreaDrama/M.1519810653.A.5BA.html,[心得] Misty 看高蕙蘭如何戰勝迷霧般的真相
https://www.ptt.cc/bbs/KoreaDrama/M.1519811761.A.337.html,[心得] 只是相愛的關係-命中萌點的演員-文秀篇
https://www.ptt.cc/bbs/KoreaDrama/M.1519817481.A.042.html,[LIVE] tvN Mother EP11
https://www.ptt.cc/bbs/KoreaDrama/M.1519819339.A.810.html,[LIVE] 推理的女王2 EP1 
https://www.ptt.cc/bbs/KoreaDrama/M.1519822401.A.FBF.html,[閒聊] 和遊記的可愛忠犬馬秘書
https://www.ptt.cc/bbs/KoreaDrama/M.1519831025.A.47C.html,[閒聊] 那些令我興奮的演員們和作品
https://www.ptt.cc/bbs/KoreaDrama/M.1519835332.A.788.html,[置底] 3月難以發文討論之「閒聊區」
https://www.ptt.cc/bbs/KoreaDrama/M.1519835886.A.5E9.html,[公告] 2月份違規名單
https://www.ptt.cc/bbs/KoreaDrama/M.1519837482.A.394.html,[閒聊] 加油吧！威基基-不要再說謊了啊啊啊
https://www.ptt.cc/bbs/KoreaDrama/M.1519838194.A.B58.html,[心得] 微雷「舊」劇：好好長（養）大的女兒
https://www.ptt.cc/bbs/KoreaDrama/M.1519849433.A.BBF.html,[閒聊] 《只是相愛的關係》台詞整理(ep13)
https://www.ptt.cc/bbs/KoreaDrama/M.1519865079.A.62E.html,[新聞] 玄彬有望出演《W》宋在貞編劇新作
https://www.ptt.cc/bbs/KoreaDrama/M.1519874157.A.74B.html,[心得] 和遊記 EP17-18 ─ 謝謝 因為有你
https://www.ptt.cc/bbs/KoreaDrama/M.1519877184.A.167.html,[問題] 愛奇藝什麼片都不能看
https://www.ptt.cc/bbs/KoreaDrama/M.1519888562.A.97D.html,[情報] 和遊記 EP.19 文字/影片預告/花絮/路透
https://www.ptt.cc/bbs/KoreaDrama/M.1519892269.A.C5B.html,[心得] 閒聊。我的2017年韓劇推薦清單
https://www.ptt.cc/bbs/KoreaDrama/M.1519895913.A.B5F.html,[閒聊] go back夫婦演員的發音
https://www.ptt.cc/bbs/KoreaDrama/M.1519900958.A.8E4.html,[新聞] 雷／《廣播羅曼史》尹斗俊：我們OO吧
https://www.ptt.cc/bbs/KoreaDrama/M.1519904756.A.931.html,[情報] 《與神同行2》:吳達庶、崔日和戲份將全刪
https://www.ptt.cc/bbs/KoreaDrama/M.1519652008.A.348.html,[LIVE] 加油吧！威基基 EP7
